galname,free_nopsf,free_psf,fixed_nopsf,fixed_psf
VFID0479-UGC08684,0.0,0.0,0.0,0.0
VFID0481-NGC6307,0.0,1.0,0.0,0.0
VFID0488-NGC3945,0.0,1.0,0.0,1.0
VFID0497-NGC2742,0.0,0.0,0.0,0.0
VFID0509-NGC2460,0.0,0.0,0.0,0.0
VFID0519-IC2209,0.0,0.0,0.0,1.0
VFID0528-NGC2654,0.0,0.0,0.0,0.0
VFID0529-NGC5322,0.0,1.0,0.0,1.0
VFID0538-NGC3835,0.0,0.0,0.0,0.0
VFID0541-NGC6390,0.0,0.0,0.0,0.0
VFID0545-NGC2273A,0.0,0.0,0.0,0.0
VFID0550-NGC2768,0.0,1.0,0.0,1.0
VFID0552-NGC6381,0.0,0.0,0.0,0.0
VFID0553-NGC3740,0.0,0.0,0.0,0.0
VFID0567-NGC5402,0.0,0.0,0.0,0.0
VFID0568-NGC5894,0.0,0.0,0.0,0.0
VFID0569-NGC5989,0.0,0.0,0.0,0.0
VFID0570-NGC5379,0.0,0.0,0.0,0.0
VFID0571-NGC5389,0.0,0.0,0.0,0.0
VFID0573-UGC10590,0.0,0.0,0.0,0.0
VFID0584-CGCG285-012,0.0,1.0,0.0,1.0
VFID0585-NGC5376,0.0,0.0,0.0,0.0
VFID0588-NGC5667,0.0,0.0,0.0,0.0
VFID0594-UGC05408,0.0,1.0,0.0,1.0
VFID0601-NGC3894,0.0,1.0,0.0,1.0
VFID0602-NGC5976,0.0,0.0,0.0,0.0
VFID0607-NGC5982,0.0,0.0,0.0,0.0
VFID0611-NGC5985,0.0,0.0,0.0,0.0
VFID0612-NGC5430,0.0,0.0,0.0,0.0
VFID0614-NGC3043,0.0,0.0,0.0,0.0
VFID0620-SBS0945+594,0.0,1.0,0.0,1.0
VFID0631-IC0691,0.0,0.0,0.0,0.0
VFID0638-WISEAJ150535.77+590537.2,0.0,1.0,0.0,0.0
VFID0643-NGC3642,0.0,1.0,0.0,1.0
VFID0650-UGC06732,0.0,0.0,0.0,1.0
VFID0651-NGC5777,0.0,1.0,0.0,0.0
VFID0673-NGC2950,0.0,0.0,0.0,0.0
VFID0675-UGC04549,0.0,0.0,0.0,0.0
VFID0683-UGC10961,0.0,0.0,0.0,0.0
VFID0686-NGC3610,0.0,0.0,0.0,0.0
VFID0687-UGC08040,0.0,1.0,0.0,0.0
VFID0693-NGC2685,0.0,0.0,0.0,0.0
VFID0697-NGC5372,0.0,0.0,0.0,0.0
VFID0703-NGC3795,0.0,0.0,0.0,0.0
VFID0712-NGC3690,0.0,0.0,0.0,0.0
VFID0720-MRK0847,0.0,0.0,0.0,1.0
VFID0721-UGC03855,0.0,1.0,0.0,0.0
VFID0723-NGC3963,0.0,0.0,0.0,0.0
VFID0741-NGC4814,0.0,0.0,0.0,0.0
VFID0747-NGC4149,0.0,1.0,0.0,0.0
VFID0752-NGC3182,0.0,0.0,0.0,0.0
VFID0765-NGC3225,0.0,0.0,0.0,0.0
VFID0769-NGC4290,0.0,1.0,0.0,1.0
VFID0772-NGC5987,0.0,0.0,0.0,1.0
VFID0782-NGC3613,0.0,0.0,0.0,0.0
VFID0786-NGC4500,0.0,0.0,0.0,0.0
VFID0790-NGC5678,0.0,0.0,0.0,0.0
VFID0796-MRK1450,0.0,1.0,0.0,1.0
VFID0809-NGC2549,0.0,0.0,0.0,1.0
VFID0813-NGC3625,0.0,0.0,0.0,0.0
VFID0816-NGC5526,0.0,1.0,0.0,1.0
VFID0819-NGC3619,0.0,0.0,0.0,0.0
VFID0822-NGC3669,0.0,1.0,0.0,0.0
VFID0825-NGC3488,0.0,0.0,0.0,0.0
VFID0828-NGC5109,0.0,0.0,0.0,0.0
VFID0830-IC0996,0.0,1.0,0.0,0.0
VFID0848-NGC2870,0.0,0.0,0.0,0.0
VFID0852-MRK0889,0.0,1.0,0.0,1.0
VFID0874-NGC3683A,0.0,0.0,0.0,0.0
VFID0879-NGC6262,0.0,0.0,0.0,0.0
VFID0885-KUG1030+573,0.0,0.0,0.0,0.0
VFID0894-NGC5879,0.0,0.0,0.0,0.0
VFID0895-NGC3445,0.0,0.0,0.0,0.0
VFID0902-NGC3683,0.0,0.0,0.0,0.0
VFID0915-NGC5585,0.0,0.0,0.0,0.0
VFID0926-NGC5631,0.0,0.0,0.0,0.0
VFID0928-NGC5963,0.0,0.0,0.0,0.0
VFID0937-NGC5907,1.0,1.0,0.0,0.0
VFID0938-NGC4964,0.0,0.0,0.0,0.0
VFID0942-NGC3780,0.0,0.0,0.0,0.0
VFID0948-NGC3499,0.0,0.0,0.0,0.0
VFID0957-NGC3898,0.0,0.0,0.0,0.0
VFID0960-NGC3888,0.0,0.0,0.0,0.0
VFID0961-NGC3353,0.0,0.0,0.0,0.0
VFID0973-NGC5443,0.0,0.0,0.0,0.0
VFID0977-NGC5866,0.0,0.0,0.0,0.0
VFID0984-NGC2710,0.0,0.0,0.0,0.0
VFID0986-NGC3079,0.0,0.0,0.0,0.0
VFID0987-MESSIER108,0.0,0.0,0.0,0.0
VFID0992-NGC3073,0.0,0.0,0.0,0.0
VFID0994-SBS0745+557,0.0,1.0,0.0,1.0
VFID1010-NGC3998,0.0,1.0,0.0,1.0
VFID1016-NGC3398,0.0,0.0,0.0,0.0
VFID1018-NGC3913,0.0,0.0,0.0,0.0
VFID1019-NGC3972,0.0,0.0,0.0,0.0
VFID1024-UGCA410,0.0,1.0,0.0,1.0
VFID1032-NGC5422,0.0,0.0,0.0,0.0
VFID1033-CGCG277-022,0.0,0.0,0.0,0.0
VFID1036-NGC3982,0.0,0.0,0.0,0.0
VFID1047-NGC5485,0.0,0.0,0.0,0.0
VFID1050-UGC04267,0.0,0.0,0.0,0.0
VFID1055-NGC5473,0.0,1.0,0.0,1.0
VFID1068-NGC5874,0.0,0.0,0.0,0.0
VFID1080-UGC05369,0.0,1.0,0.0,0.0
VFID1082-NGC4194,0.0,0.0,0.0,1.0
VFID1085-NGC5876,0.0,0.0,0.0,0.0
VFID1086-NGC4384,0.0,0.0,0.0,0.0
VFID1093-UGC05720,0.0,0.0,0.0,0.0
VFID1099-NGC3756,0.0,0.0,0.0,0.0
VFID1122-SBS1307+542,0.0,0.0,0.0,1.0
VFID1126-UGC06518,0.0,0.0,0.0,0.0
VFID1131-NGC3656,0.0,0.0,0.0,0.0
VFID1139-NGC2701,0.0,0.0,0.0,0.0
VFID1154-NGC3310,-999.0,-999.0,0.0,0.0
VFID1166-NGC5751,0.0,0.0,0.0,0.0
VFID1167-NGC3549,0.0,0.0,0.0,0.0
VFID1168-MESSIER109,0.0,0.0,0.0,0.0
VFID1174-NGC3631,0.0,0.0,0.0,0.0
VFID1183-NGC3718,0.0,1.0,0.0,1.0
VFID1186-UGC04906,0.0,1.0,0.0,0.0
VFID1189-NGC3657,0.0,0.0,0.0,0.0
VFID1213-NGC3953,0.0,0.0,0.0,0.0
VFID1214-NGC5875A,0.0,0.0,0.0,0.0
VFID1224-NGC5783,0.0,0.0,0.0,0.0
VFID1236-NGC3917,0.0,0.0,0.0,0.0
VFID1246-NGC5624,0.0,0.0,0.0,0.0
VFID1247-NGC5707,0.0,1.0,0.0,1.0
VFID1252-UGC06309,0.0,0.0,0.0,0.0
VFID1263-NGC2681,0.0,0.0,0.0,0.0
VFID1271-UGC09448,0.0,1.0,0.0,0.0
VFID1276-NGC2841,0.0,0.0,0.0,0.0
