RA,DEC,radius,env_flag
185.86877249999998,74.9522485,23.82984733581543,10.0
182.208,74.9042778,49.673099517822266,10.0
145.944663,74.8595778,62.390899658203125,1.0
185.5730835,74.8383889,26.128908157348633,10.0
182.82775049999998,74.8082222,40.93749237060547,10.0
173.1341835,74.6275401,48.65430450439453,1.0
121.912404,74.5846308,26.984928131103516,1.0
118.2363,74.576533,23.448833465576172,1.0
274.943166,74.5683889,99.5683364868164,1.0
183.47745,74.501404,39.54770278930664,10.0
190.435041,74.4208611,42.181427001953125,1.0
154.4161905,74.3473859,36.234413146972656,10.0
110.33325,74.323799,21.733078002929688,1.0
139.6340505,74.3191954,34.050323486328125,1.0
262.26691650000004,74.2578333,47.98674011230469,1.0
188.9393595,74.242585,44.067787170410156,3.0
138.6996255,74.2324722,44.373252868652344,1.0
157.678335,74.2275172,40.00564193725586,10.0
189.35429100000002,74.1918611,87.92679595947266,3.0
155.4540195,74.1769917,66.69929504394531,10.0
132.0193335,74.0987778,69.2024154663086,10.0
278.702208,74.0618056,25.010435104370117,1.0
132.0992085,74.0382222,14.392003059387207,10.0
126.14016600000001,74.0123056,28.649778366088867,3.0
132.10595849999999,73.9671111,51.53725051879883,10.0
132.1589265,73.9393089,35.819644927978516,10.0
141.41841599999998,73.9001194,27.36032485961914,3.0
157.6912245,73.8854228,40.56217575073242,10.0
127.46229149999999,73.8563889,46.14463806152344,3.0
142.8079995,73.8105833,33.19871520996094,3.0
158.5963845,73.7650129,56.24983596801758,1.0
139.63647,73.7596962,96.18807983398438,3.0
129.9781065,73.7540147,31.054264068603516,1.0
190.2086265,73.7189281,34.52401351928711,3.0
114.24410999999999,73.7134065,48.65430450439453,1.0
194.9850765,73.6926949,28.649778366088867,1.0
163.478541,73.6903611,83.39139556884766,1.0
188.8853745,73.6748333,25.183799743652344,3.0
132.10166700000002,73.6712778,10.141944885253906,10.0
188.6601795,73.6666935,24.217050552368164,3.0
279.634545,73.6567366,25.183799743652344,1.0
126.95062499999999,73.6513333,24.050342559814453,3.0
127.27170000000001,73.629097,17.78775978088379,1.0
190.9086435,73.6133058,40.09786605834961,3.0
279.748125,73.6099707,39.54770278930664,3.0
138.0624165,73.5940833,30.0,3.0
279.8548155,73.580134,63.258846282958984,3.0
131.990334,73.5393333,39.005088806152344,10.0
126.96500999999999,73.5170624,44.68083190917969,3.0
108.585708,73.4806204,64.13886260986328,3.0
108.584667,73.4733889,30.0,3.0
108.046542,73.4706111,36.15107727050781,3.0
259.0219695,73.4360503,32.74320983886719,1.0
268.56899999999996,73.4239444,28.321826934814453,1.0
126.20955900000001,73.4119916,47.219486236572266,1.0
154.223655,73.4007336,123.34491729736328,10.0
144.33534,73.3846596,12.506081581115723,1.0
155.195925,73.2842714,30.277585983276367,10.0
133.31475,73.1888333,18.160226821899414,1.0
276.03133349999996,73.18325,87.3215103149414,1.0
193.7208855,73.1783368,52.737709045410156,3.0
120.509523,73.0453448,45.82698059082031,1.0
113.878335,72.968333,30.0,1.0
124.87912200000001,72.9678005,21.238372802734375,1.0
113.09656799999999,72.9086921,18.49785041809082,1.0
131.9899995,72.8957222,37.76776123046875,1.0
192.53004149999998,72.8744722,71.9649887084961,3.0
161.7916245,72.8396667,63.84416961669922,3.0
161.92425,72.8218611,20.376108169555664,1.0
116.24884949999999,72.8109551,29.38469886779785,1.0
122.746833,72.7944444,35.00428771972656,1.0
257.987931,72.5820128,18.928720474243164,1.0
112.0477995,72.573013,23.884780883789062,1.0
166.69779,72.5685398,57.427677154541016,1.0
112.736253,72.5175576,39.18512725830078,3.0
146.696916,72.4505833,12.797385215759277,1.0
256.1414385,72.4466523,54.09053039550781,10.0
162.124125,72.4250556,41.79470443725586,3.0
257.554614,72.4106026,36.234413146972656,10.0
257.889294,72.4019766,27.36032485961914,10.0
258.6611355,72.3987504,55.862613677978516,10.0
257.60373749999997,72.3043878,91.22654724121094,10.0
147.59195250000002,72.279194,108.42295837402344,3.0
191.83798199999998,72.2138577,27.613487243652344,3.0
148.91891700000002,72.2036253,100.48963165283203,3.0
151.3155495,72.2004713,29.793481826782227,1.0
150.480417,72.1702778,55.991390228271484,3.0
107.9278755,72.1691944,52.495399475097656,3.0
150.54541650000002,72.12525,33.505897521972656,3.0
264.2034585,72.0889444,62.67888259887695,1.0
147.95833349999998,72.0833333,30.0,3.0
118.24879200000001,72.0412778,28.45255470275879,1.0
107.84397299999999,71.8363893,65.63285064697266,3.0
190.25312250000002,71.811537,25.652002334594727,1.0
163.017459,71.7730278,34.52401351928711,3.0
108.1362915,71.7505278,55.60594940185547,3.0
224.440254,71.6823693,55.86260986328125,1.0
108.280209,71.6703333,17.952348709106445,3.0
192.80007,71.6367535,47.76626205444336,3.0
110.6442915,71.5989722,54.21522521972656,1.0
173.641458,71.5400833,21.633224487304688,1.0
163.929708,71.4883333,23.82984733581543,3.0
191.4016665,71.3187222,14.161890983581543,1.0
228.077088,71.265498,20.423080444335938,1.0
156.93825,71.237,25.652002334594727,1.0
106.847916,71.1925,26.614681243896484,3.0
198.15562500000001,71.1913504,36.31794357299805,1.0
191.788029,71.1762054,30.0,3.0
115.0014,71.135201,36.65399169921875,1.0
261.630336,71.096297,67.47164154052734,1.0
106.409334,71.0703889,56.77030944824219,3.0
273.7528665,71.0054647,27.804895401000977,1.0
105.67287449999999,70.9706111,29.52033233642578,1.0
156.02741699999999,70.8822121,78.54548645019531,1.0
114.549633,70.8521431,21.238372802734375,1.0
184.3597605,70.8024473,56.12046432495117,1.0
191.0301315,70.78977,27.933237075805664,1.0
251.1448695,70.7803589,54.591026306152344,3.0
140.276667,70.6983056,18.49785041809082,1.0
170.4290835,70.6476389,26.370676040649414,1.0
152.20977,70.6336035,51.064754486083984,1.0
173.513709,70.5936667,10.402105331420898,3.0
173.98879200000002,70.5356348,106.19920349121094,3.0
201.057084,70.5316667,29.793481826782227,3.0
278.70946349999997,70.5238708,98.65547943115234,1.0
109.473333,70.5190556,32.14558029174805,1.0
182.59215,70.515404,43.66377258300781,3.0
200.72555999999997,70.5144644,30.0,3.0
254.08095,70.4468,23.93984031677246,1.0
182.5251,70.403603,26.128908157348633,3.0
173.2911255,70.3901111,18.88518524169922,3.0
182.62758300000002,70.3693727,23.995027542114258,3.0
